ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.00300407	2.50003e+06	0.000291109	2.50003e+06	0.000282049	2.50003e+06	0	0	0
1100000	0.00286984	2.74929e+06	0.000334978	2.74929e+06	0.000310183	2.74929e+06	4.79631e-08	4.79631e-08	0
1200000	0.00181699	3.00025e+06	0.000364065	3.00025e+06	0.000337124	3.00025e+06	-9.31323e-10	-9.31323e-10	0
1300000	0.00177121	3.24947e+06	0.000369787	3.24947e+06	0.000366211	3.24947e+06	-1.90921e-08	-1.90921e-08	0
1400000	0.00204015	3.50016e+06	0.000400782	3.50016e+06	0.000397205	3.50016e+06	5.16884e-08	5.12227e-08	-4.65661e-10
1500000	0.00213504	3.7517e+06	0.000425816	3.7517e+06	0.000424147	3.7517e+06	4.65661e-09	4.65661e-09	0
1600000	0.00231194	3.99833e+06	0.000462055	3.99833e+06	0.000451803	3.99833e+06	4.65661e-09	4.65661e-09	0
1700000	0.00225902	4.25074e+06	0.000483036	4.25074e+06	0.000527859	4.25074e+06	-2.32831e-08	-2.32831e-08	0
1800000	0.0025239	4.50223e+06	0.000539064	4.50223e+06	0.000509024	4.50223e+06	3.63216e-08	3.53903e-08	-9.31323e-10
1900000	0.00269008	4.74753e+06	0.000562906	4.74753e+06	0.000535965	4.74753e+06	-1.11759e-08	-1.11759e-08	0
2000000	0.00276589	5.00233e+06	0.000588894	5.00233e+06	0.000571012	5.00233e+06	4.65661e-09	4.65661e-09	0
2100000	0.00284719	5.25232e+06	0.000643969	5.25232e+06	0.000607967	5.25232e+06	-3.35276e-08	-3.35276e-08	0
2200000	0.00305581	5.50016e+06	0.00068593	5.50016e+06	0.000639915	5.50016e+06	-7.72998e-08	-7.63685e-08	9.31323e-10
2300000	0.00316286	5.74745e+06	0.000727177	5.74745e+06	0.00068593	5.74745e+06	1.76951e-08	1.76951e-08	0
2400000	0.00339317	5.99537e+06	0.000790834	5.99537e+06	0.000715971	5.99537e+06	3.63216e-08	3.72529e-08	9.31323e-10
2500000	0.00343609	6.2474e+06	0.000850916	6.2474e+06	0.000763178	6.2474e+06	1.39698e-08	1.39698e-08	0
2600000	0.00363207	6.50231e+06	0.000890017	6.50231e+06	0.000846863	6.50231e+06	-1.86265e-09	-1.86265e-09	0
2700000	0.00382185	6.75321e+06	0.00102115	6.75321e+06	0.000859976	6.75321e+06	-7.45058e-09	-7.45058e-09	0
2800000	0.00399995	7.00317e+06	0.00110507	7.00317e+06	0.00093317	7.00317e+06	-9.40636e-08	-9.40636e-08	0
2900000	0.00415516	7.24932e+06	0.00121498	7.24932e+06	0.000952959	7.24932e+06	3.25963e-08	3.25963e-08	0
3000000	0.00436187	7.49921e+06	0.00127506	7.49921e+06	0.00100493	7.49921e+06	-9.12696e-08	-9.12696e-08	0
3100000	0.00450993	7.74886e+06	0.00136614	7.74886e+06	0.00105691	7.74886e+06	-6.79865e-08	-6.79865e-08	0
3200000	0.00472689	8.00172e+06	0.00152802	8.00172e+06	0.00110602	8.00172e+06	1.57394e-07	1.57394e-07	0
3300000	0.0048821	8.24853e+06	0.00160694	8.24853e+06	0.0011549	8.24853e+06	-1.67638e-08	-1.67638e-08	0
3400000	0.00499892	8.50254e+06	0.00168395	8.50254e+06	0.00120401	8.50254e+06	7.45058e-09	7.45058e-09	0
3500000	0.00521994	8.7514e+06	0.00178814	8.7514e+06	0.00125194	8.7514e+06	3.53903e-08	3.53903e-08	0
