ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.008009	2.50068e+006	0.003009	2.50068e+006	0.002006	2.50068e+006	1.07102e-008	1.02445e-008	-4.65661e-010
1100000	0.007085	2.75258e+006	0.00401	2.75258e+006	0.001002	2.75258e+006	-3.72529e-009	-3.25963e-009	4.65661e-010
1200000	0.00802	3.00061e+006	0.004012	3.00061e+006	0.001003	3.00061e+006	-2.42144e-008	-2.37487e-008	4.65661e-010
1300000	0.008994	3.25046e+006	0.003538	3.25046e+006	0.001478	3.25046e+006	-2.7474e-008	-2.70084e-008	4.65661e-010
1400000	0.009035	3.49955e+006	0.00351	3.49955e+006	0.001503	3.49955e+006	2.28174e-008	2.28174e-008	0
1500000	0.009494	3.74948e+006	0.004545	3.74948e+006	0.001497	3.74948e+006	4.65661e-010	4.65661e-010	0
1600000	0.011112	3.99618e+006	0.005014	3.99618e+006	0.001003	3.99618e+006	0	0	0
1700000	0.01103	4.24784e+006	0.00401	4.24784e+006	0.002006	4.24784e+006	-1.30385e-008	-1.30385e-008	0
1800000	0.008523	4.50012e+006	0.004012	4.50012e+006	0.002006	4.50012e+006	5.58794e-009	5.58794e-009	0
1900000	0.009998	4.75284e+006	0.012037	4.75284e+006	0.004007	4.75284e+006	1.21072e-008	1.21072e-008	0
2000000	0.012003	4.99743e+006	0.005013	4.99743e+006	0.002006	4.99743e+006	3.35276e-008	3.35276e-008	0
2100000	0.011166	5.25167e+006	0.004017	5.25167e+006	0.001999	5.25167e+006	4.93601e-008	4.93601e-008	0
2200000	0.010995	5.50417e+006	0.006051	5.50417e+006	0.000968	5.50417e+006	-3.25963e-008	-3.35276e-008	-9.31323e-010
2300000	0.013037	5.7489e+006	0.016076	5.7489e+006	0.003976	5.7489e+006	1.02445e-008	1.21072e-008	1.86265e-009
2400000	0.01103	6.00257e+006	0.005014	6.00257e+006	0.002005	6.00257e+006	1.21072e-008	1.30385e-008	9.31323e-010
2500000	0.01454	6.25406e+006	0.006016	6.25406e+006	0.00301	6.25406e+006	-4.28408e-008	-4.28408e-008	0
2600000	0.01402	6.50244e+006	0.008041	6.50244e+006	0.002	6.50244e+006	-4.65661e-009	-4.65661e-009	0
2700000	0.014037	6.7507e+006	0.008021	6.7507e+006	0.002008	6.7507e+006	-7.82311e-008	-7.91624e-008	-9.31323e-010
2800000	0.011029	7.0031e+006	0.007018	7.0031e+006	0.002006	7.0031e+006	4.19095e-008	4.19095e-008	0
2900000	0.012031	7.25376e+006	0.007018	7.25376e+006	0.002006	7.25376e+006	-7.07805e-008	-7.07805e-008	0
3000000	0.011535	7.4971e+006	0.008022	7.4971e+006	0.003007	7.4971e+006	-6.0536e-008	-6.14673e-008	-9.31323e-010
3100000	0.015043	7.74885e+006	0.008024	7.74885e+006	0.003009	7.74885e+006	4.65661e-008	4.65661e-008	0
3200000	0.015138	7.99905e+006	0.00953	7.99905e+006	0.004008	7.99905e+006	-7.82311e-008	-7.72998e-008	9.31323e-010
3300000	0.015299	8.25112e+006	0.006548	8.25112e+006	0.001975	8.25112e+006	3.91155e-008	3.81842e-008	-9.31323e-010
3400000	0.014017	8.49652e+006	0.011537	8.49652e+006	0.00252	8.49652e+006	1.08033e-007	1.06171e-007	-1.86265e-009
3500000	0.014009	8.75537e+006	0.007539	8.75537e+006	0.00299	8.75537e+006	4.09782e-008	3.91155e-008	-1.86265e-009
3600000	0.018047	8.99719e+006	0.011566	8.99719e+006	0.002976	8.99719e+006	2.04891e-008	1.86265e-008	-1.86265e-009
3700000	0.015046	9.25234e+006	0.009024	9.25234e+006	0.003008	9.25234e+006	-5.58794e-008	-5.58794e-008	0
3800000	0.014557	9.50002e+006	0.010004	9.50002e+006	0.003008	9.50002e+006	-8.9407e-008	-8.75443e-008	1.86265e-009
3900000	0.018074	9.74917e+006	0.009024	9.74917e+006	0.004009	9.74917e+006	4.84288e-008	4.65661e-008	-1.86265e-009
4000000	0.021055	1.00006e+007	0.011031	1.00006e+007	0.003029	1.00006e+007	-3.1665e-008	-3.35276e-008	-1.86265e-009
4100000	0.017017	1.02536e+007	0.013002	1.02536e+007	0.003007	1.02536e+007	-2.03028e-007	-2.04891e-007	-1.86265e-009
4200000	0.016005	1.05018e+007	0.009078	1.05018e+007	0.00195	1.05018e+007	-9.68575e-008	-9.49949e-008	1.86265e-009
4300000	0.017038	1.07494e+007	0.010057	1.07494e+007	0.002978	1.07494e+007	-1.24797e-007	-1.22935e-007	1.86265e-009
4400000	0.018024	1.09987e+007	0.008523	1.09987e+007	0.004011	1.09987e+007	-8.56817e-008	-8.56817e-008	0
4500000	0.01804	1.12535e+007	0.014063	1.12535e+007	0.002982	1.12535e+007	-1.86265e-008	-1.67638e-008	1.86265e-009
4600000	0.017013	1.15064e+007	0.012065	1.15064e+007	0.002975	1.15064e+007	2.98023e-008	2.98023e-008	0
4700000	0.017046	1.17505e+007	0.014068	1.17505e+007	0.00399	1.17505e+007	-1.02445e-007	-1.02445e-007	0
4800000	0.019424	1.1995e+007	0.008021	1.1995e+007	0.004012	1.1995e+007	1.11759e-008	1.30385e-008	1.86265e-009
4900000	0.019026	1.22535e+007	0.011031	1.22535e+007	0.003008	1.22535e+007	9.12696e-008	9.12696e-008	0
5000000	0.018017	1.25052e+007	0.01504	1.25052e+007	0.003011	1.25052e+007	-7.82311e-008	-7.63685e-008	1.86265e-009
5100000	0.021219	1.27433e+007	0.012066	1.27433e+007	0.002973	1.27433e+007	4.65661e-008	4.47035e-008	-1.86265e-009
5200000	0.01802	1.30006e+007	0.010021	1.30006e+007	0.003983	1.30006e+007	8.75443e-008	8.56817e-008	-1.86265e-009
5300000	0.022978	1.32552e+007	0.013537	1.32552e+007	0.00401	1.32552e+007	-1.86265e-009	-1.86265e-009	0
5400000	0.022058	1.35024e+007	0.013034	1.35024e+007	0.004011	1.35024e+007	-1.49012e-008	-1.30385e-008	1.86265e-009
5500000	0.019021	1.37503e+007	0.016106	1.37503e+007	0.004037	1.37503e+007	-7.63685e-008	-7.45058e-008	1.86265e-009
5600000	0.020018	1.4e+007	0.012032	1.4e+007	0.00401	1.4e+007	4.28408e-008	4.65661e-008	3.72529e-009
5700000	0.023063	1.42458e+007	0.011065	1.42458e+007	0.003475	1.42458e+007	3.53903e-008	3.53903e-008	0
5800000	0.024037	1.44991e+007	0.016074	1.44991e+007	0.003979	1.44991e+007	4.09782e-008	4.28408e-008	1.86265e-009
5900000	0.020054	1.47505e+007	0.017047	1.47505e+007	0.004013	1.47505e+007	2.42144e-008	2.42144e-008	0
6000000	0.021019	1.50028e+007	0.012032	1.50028e+007	0.004043	1.50028e+007	-2.84985e-007	-2.83122e-007	1.86265e-009
6100000	0.022563	1.52514e+007	0.018047	1.52514e+007	0.00401	1.52514e+007	-7.26432e-008	-7.45058e-008	-1.86265e-009
6200000	0.023026	1.55029e+007	0.016074	1.55029e+007	0.004441	1.55029e+007	-7.82311e-008	-7.82311e-008	0
6300000	0.021583	1.57568e+007	0.013061	1.57568e+007	0.003986	1.57568e+007	-1.24797e-007	-1.2666e-007	-1.86265e-009
6400000	0.022058	1.59985e+007	0.015055	1.59985e+007	0.004512	1.59985e+007	-2.51457e-007	-2.51457e-007	0
6500000	0.022531	1.62495e+007	0.02107	1.62495e+007	0.003997	1.62495e+007	-2.04891e-008	-2.04891e-008	0
6600000	0.024197	1.65052e+007	0.017046	1.65052e+007	0.00401	1.65052e+007	-1.37836e-007	-1.41561e-007	-3.72529e-009
6700000	0.024031	1.67507e+007	0.02059	1.67507e+007	0.00498	1.67507e+007	2.98023e-008	2.6077e-008	-3.72529e-009
6800000	0.025035	1.69988e+007	0.016045	1.69988e+007	0.004512	1.69988e+007	-3.31551e-007	-3.31551e-007	0
6900000	0.026067	1.72508e+007	0.016074	1.72508e+007	0.005485	1.72508e+007	4.84288e-008	5.21541e-008	3.72529e-009
7000000	0.025065	1.7499e+007	0.014037	1.7499e+007	0.004011	1.7499e+007	-8.9407e-008	-9.31323e-008	-3.72529e-009
7100000	0.025055	1.77481e+007	0.020055	1.77481e+007	0.005014	1.77481e+007	-1.86265e-008	-1.86265e-008	0
7200000	0.024101	1.79936e+007	0.022082	1.79936e+007	0.005014	1.79936e+007	7.07805e-008	7.07805e-008	0
7300000	0.026425	1.82452e+007	0.018046	1.82452e+007	0.00504	1.82452e+007	-1.41561e-007	-1.37836e-007	3.72529e-009
7400000	0.025677	1.84968e+007	0.024064	1.84968e+007	0.00605	1.84968e+007	7.45058e-008	7.45058e-008	0
7500000	0.026099	1.87496e+007	0.023063	1.87496e+007	0.005011	1.87496e+007	-1.22935e-007	-1.2666e-007	-3.72529e-009
7600000	0.027862	1.89988e+007	0.018046	1.89988e+007	0.008022	1.89988e+007	-7.82311e-008	-7.82311e-008	0
7700000	0.025067	1.92511e+007	0.014008	1.92511e+007	0.006016	1.92511e+007	-2.23517e-007	-2.27243e-007	-3.72529e-009
7800000	0.02856	1.94974e+007	0.024065	1.94974e+007	0.006016	1.94974e+007	1.11759e-008	7.45058e-009	-3.72529e-009
7900000	0.027575	1.97548e+007	0.017045	1.97548e+007	0.005014	1.97548e+007	8.56817e-008	8.56817e-008	0
8000000	0.024066	1.9994e+007	0.019052	1.9994e+007	0.006016	1.9994e+007	6.33299e-008	5.96046e-008	-3.72529e-009
8100000	0.023904	2.02456e+007	0.014038	2.02456e+007	0.005013	2.02456e+007	-8.9407e-008	-8.56817e-008	3.72529e-009
8200000	0.028049	2.05004e+007	0.023061	2.05004e+007	0.005013	2.05004e+007	4.39584e-007	4.35859e-007	-3.72529e-009
8300000	0.028742	2.07466e+007	0.018048	2.07466e+007	0.005013	2.07466e+007	-3.20375e-007	-3.20375e-007	0
8400000	0.02855	2.09999e+007	0.019053	2.09999e+007	0.00498	2.09999e+007	3.94881e-007	3.91155e-007	-3.72529e-009
8500000	0.026043	2.12535e+007	0.021061	2.12535e+007	0.005985	2.12535e+007	3.31551e-007	3.27826e-007	-3.72529e-009
8600000	0.02753	2.14971e+007	0.023093	2.14971e+007	0.006985	2.14971e+007	1.67638e-007	1.67638e-007	0
8700000	0.029081	2.17425e+007	0.022063	2.17425e+007	0.005985	2.17425e+007	2.71946e-007	2.68221e-007	-3.72529e-009
8800000	0.028546	2.20063e+007	0.024064	2.20063e+007	0.005986	2.20063e+007	-2.08616e-007	-2.12342e-007	-3.72529e-009
8900000	0.028912	2.22523e+007	0.01903	2.22523e+007	0.006012	2.22523e+007	-4.4331e-007	-4.47035e-007	-3.72529e-009
9000000	0.028045	2.25004e+007	0.01908	2.25004e+007	0.005986	2.25004e+007	3.8743e-007	3.91155e-007	3.72529e-009
9100000	0.029081	2.27466e+007	0.018078	2.27466e+007	0.005985	2.27466e+007	1.93715e-007	1.9744e-007	3.72529e-009
9200000	0.030583	2.30019e+007	0.02307	2.30019e+007	0.006007	2.30019e+007	5.73695e-007	5.73695e-007	0
9300000	0.02961	2.3255e+007	0.025067	2.3255e+007	0.006988	2.3255e+007	2.38419e-007	2.38419e-007	0
9400000	0.027581	2.35059e+007	0.021056	2.35059e+007	0.005985	2.35059e+007	-2.79397e-007	-2.83122e-007	-3.72529e-009
9500000	0.030053	2.37545e+007	0.026074	2.37545e+007	0.006989	2.37545e+007	-6.33299e-008	-5.96046e-008	3.72529e-009
9600000	0.028548	2.39922e+007	0.023056	2.39922e+007	0.006988	2.39922e+007	-2.6077e-008	-2.6077e-008	0
9700000	0.031082	2.42479e+007	0.027041	2.42479e+007	0.006049	2.42479e+007	1.04308e-007	1.00583e-007	-3.72529e-009
9800000	0.029049	2.44909e+007	0.024033	2.44909e+007	0.007018	2.44909e+007	-6.70552e-008	-5.96046e-008	7.45058e-009
9900000	0.033091	2.47523e+007	0.025071	2.47523e+007	0.005986	2.47523e+007	-2.49594e-007	-2.5332e-007	-3.72529e-009
10000000	0.032461	2.50042e+007	0.029112	2.50042e+007	0.007006	2.50042e+007	2.23517e-007	2.27243e-007	3.72529e-009
