ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.007981	2.50068e+006	0.002005	2.50068e+006	0.001003	2.50068e+006	7.45058e-009	7.45058e-009	0
1100000	0.008021	2.75258e+006	0.003009	2.75258e+006	0.001001	2.75258e+006	6.51926e-009	6.98492e-009	4.65661e-010
1200000	0.007995	3.00061e+006	0.003012	3.00061e+006	0.001024	3.00061e+006	-5.58794e-009	-5.58794e-009	0
1300000	0.00799	3.25046e+006	0.003038	3.25046e+006	0.000972	3.25046e+006	-2.32831e-008	-2.28174e-008	4.65661e-010
1400000	0.00799	3.49955e+006	0.002004	3.49955e+006	0.002006	3.49955e+006	-3.25963e-009	-3.25963e-009	0
1500000	0.009067	3.74948e+006	0.004084	3.74948e+006	0.00093	3.74948e+006	7.91624e-009	7.91624e-009	0
1600000	0.009024	3.99618e+006	0.004022	3.99618e+006	0.000992	3.99618e+006	1.67638e-008	1.72295e-008	4.65661e-010
1700000	0.009029	4.24784e+006	0.004013	4.24784e+006	0.002005	4.24784e+006	6.51926e-009	6.51926e-009	0
1800000	0.009996	4.50012e+006	0.004042	4.50012e+006	0.001973	4.50012e+006	-1.39698e-008	-1.30385e-008	9.31323e-010
1900000	0.00906	4.75284e+006	0.005014	4.75284e+006	0.002005	4.75284e+006	1.86265e-009	1.86265e-009	0
2000000	0.012005	4.99743e+006	0.005047	4.99743e+006	0.001971	4.99743e+006	2.42144e-008	2.42144e-008	0
2100000	0.009995	5.25167e+006	0.005015	5.25167e+006	0.003036	5.25167e+006	5.30854e-008	5.21541e-008	-9.31323e-010
2200000	0.011031	5.50417e+006	0.006042	5.50417e+006	0.002006	5.50417e+006	-7.45058e-009	-7.45058e-009	0
2300000	0.011002	5.7489e+006	0.006066	5.7489e+006	0.001982	5.7489e+006	-1.11759e-008	-1.11759e-008	0
2400000	0.011507	6.00257e+006	0.006043	6.00257e+006	0.002004	6.00257e+006	-7.45058e-009	-8.3819e-009	-9.31323e-010
2500000	0.012006	6.25406e+006	0.006036	6.25406e+006	0.003015	6.25406e+006	-3.07336e-008	-3.07336e-008	0
2600000	0.012003	6.50244e+006	0.006014	6.50244e+006	0.003008	6.50244e+006	-2.6077e-008	-2.6077e-008	0
