ArraySize	 ParallelSumTime 	 ParallelSumTotal 	 FastSumTime 	 FastSumTotal
1000000	0.00111604	2.50003e+06	0.00101089	2.50003e+06
2000000	0.00218081	4.99939e+06	0.00203514	4.99939e+06
3000000	0.00317192	7.49978e+06	0.00306511	7.49978e+06
4000000	0.00426102	1.00025e+07	0.00409698	1.00025e+07
5000000	0.00524306	1.24971e+07	0.00509	1.24971e+07
6000000	0.006356	1.50056e+07	0.00609779	1.50056e+07
7000000	0.00725317	1.74904e+07	0.00704288	1.74904e+07
8000000	0.00833511	2.00094e+07	0.00805998	2.00094e+07
9000000	0.009372	2.24965e+07	0.00906301	2.24965e+07
10000000	0.0103869	2.5003e+07	0.0101001	2.5003e+07
11000000	0.0114059	2.75037e+07	0.011054	2.75037e+07
12000000	0.012552	3.00057e+07	0.0121958	3.00057e+07
13000000	0.0135882	3.24941e+07	0.0131798	3.24941e+07
14000000	0.0146301	3.5002e+07	0.0142088	3.5002e+07
15000000	0.0155311	3.74999e+07	0.0150998	3.74999e+07
16000000	0.0166581	3.99963e+07	0.0161512	3.99963e+07
17000000	0.0178452	4.24969e+07	0.017199	4.24969e+07
18000000	0.018714	4.49919e+07	0.0181141	4.49919e+07
19000000	0.0196788	4.74964e+07	0.019114	4.74964e+07
20000000	0.0209761	4.99973e+07	0.0202689	4.99973e+07
21000000	0.0217428	5.25072e+07	0.0212011	5.25072e+07
22000000	0.0227599	5.49917e+07	0.022054	5.49917e+07
23000000	0.0239432	5.74998e+07	0.023304	5.74998e+07
24000000	0.0248499	5.99945e+07	0.0241091	5.99945e+07
25000000	0.025877	6.25207e+07	0.0251961	6.25207e+07
26000000	0.0271139	6.50056e+07	0.0263479	6.50056e+07
27000000	0.0280969	6.74934e+07	0.0272071	6.74934e+07
28000000	0.029254	7.00167e+07	0.0284081	7.00167e+07
29000000	0.0299919	7.24966e+07	0.029213	7.24966e+07
30000000	0.0311971	7.50101e+07	0.0304041	7.50101e+07
31000000	0.0324051	7.75089e+07	0.0313969	7.75089e+07
32000000	0.0333531	8e+07	0.032342	8e+07
33000000	0.034121	8.25056e+07	0.033221	8.25056e+07
34000000	0.0352571	8.50072e+07	0.0345089	8.50072e+07
35000000	0.0365622	8.74878e+07	0.035486	8.74878e+07
36000000	0.0375938	9.00054e+07	0.0364621	9.00054e+07
37000000	0.0382459	9.25142e+07	0.037256	9.25142e+07
38000000	0.0395961	9.49958e+07	0.038166	9.49958e+07
39000000	0.040602	9.74921e+07	0.039433	9.74921e+07
40000000	0.041343	1.00008e+08	0.0402582	1.00008e+08
41000000	0.0426271	1.02498e+08	0.0413339	1.02498e+08
42000000	0.0433919	1.05003e+08	0.0425282	1.05003e+08
43000000	0.044466	1.07508e+08	0.043339	1.07508e+08
44000000	0.0458422	1.09998e+08	0.044517	1.09998e+08
45000000	0.0466809	1.125e+08	0.0456882	1.125e+08
46000000	0.0474899	1.14992e+08	0.04619	1.14992e+08
47000000	0.048995	1.17484e+08	0.0475011	1.17484e+08
48000000	0.049577	1.19996e+08	0.0484798	1.19996e+08
49000000	0.050971	1.22511e+08	0.0495989	1.22511e+08
50000000	0.051646	1.24992e+08	0.0506949	1.24992e+08
51000000	0.0528491	1.27495e+08	0.0513301	1.27495e+08
52000000	0.054095	1.29987e+08	0.052808	1.29987e+08
53000000	0.0548391	1.32495e+08	0.0533829	1.32495e+08
54000000	0.0563509	1.34982e+08	0.0546749	1.34982e+08
55000000	0.05725	1.37485e+08	0.0556848	1.37485e+08
56000000	0.0578029	1.39999e+08	0.0564141	1.39999e+08
57000000	0.0589759	1.42499e+08	0.057394	1.42499e+08
58000000	0.059881	1.45002e+08	0.0582862	1.45002e+08
59000000	0.061619	1.47508e+08	0.0597439	1.47508e+08
60000000	0.0620289	1.49996e+08	0.0603881	1.49996e+08
61000000	0.063349	1.52507e+08	0.061677	1.52507e+08
62000000	0.0640709	1.54998e+08	0.062443	1.54998e+08
63000000	0.0655138	1.57501e+08	0.0637321	1.57501e+08
64000000	0.0660741	1.59997e+08	0.0644219	1.59997e+08
65000000	0.067446	1.62506e+08	0.0657558	1.62506e+08
66000000	0.0683169	1.64998e+08	0.0664401	1.64998e+08
67000000	0.06938	1.67518e+08	0.0676939	1.67518e+08
68000000	0.070178	1.70004e+08	0.0685079	1.70004e+08
69000000	0.071928	1.72508e+08	0.069978	1.72508e+08
70000000	0.0720789	1.74987e+08	0.0704072	1.74987e+08
71000000	0.0737979	1.77488e+08	0.0716829	1.77488e+08
72000000	0.0750132	1.8002e+08	0.072916	1.8002e+08
73000000	0.0757091	1.8252e+08	0.0734041	1.8252e+08
74000000	0.0768499	1.85024e+08	0.0747979	1.85024e+08
75000000	0.0771401	1.87509e+08	0.0754449	1.87509e+08
76000000	0.078444	1.90001e+08	0.0764639	1.90001e+08
77000000	0.079375	1.92495e+08	0.0776498	1.92495e+08
78000000	0.0809281	1.95008e+08	0.0787518	1.95008e+08
79000000	0.082273	1.97504e+08	0.0798111	1.97504e+08
80000000	0.0824389	1.99997e+08	0.0805449	1.99997e+08
81000000	0.0838871	2.02499e+08	0.081975	2.02499e+08
82000000	0.0854418	2.04995e+08	0.083055	2.04995e+08
83000000	0.0856042	2.0749e+08	0.0834739	2.0749e+08
84000000	0.087162	2.10001e+08	0.08459	2.10001e+08
85000000	0.0881181	2.12489e+08	0.0860469	2.12489e+08
86000000	0.088798	2.14975e+08	0.086643	2.14975e+08
87000000	0.0898829	2.17499e+08	0.088187	2.17499e+08
88000000	0.0914521	2.2e+08	0.089041	2.2e+08
89000000	0.091656	2.2251e+08	0.0896111	2.2251e+08
90000000	0.09306	2.25008e+08	0.090924	2.25008e+08
91000000	0.0948451	2.27527e+08	0.0918481	2.27527e+08
92000000	0.0950391	2.30007e+08	0.0928729	2.30007e+08
93000000	0.0957501	2.325e+08	0.093534	2.325e+08
94000000	0.0978508	2.34994e+08	0.094913	2.34994e+08
95000000	0.098861	2.37514e+08	0.096138	2.37514e+08
96000000	0.0990071	2.4e+08	0.096525	2.4e+08
97000000	0.100173	2.42482e+08	0.097625	2.42482e+08
98000000	0.101852	2.45019e+08	0.0990119	2.45019e+08
99000000	0.102862	2.47523e+08	0.10018	2.47523e+08
100000000	0.103264	2.49983e+08	0.100892	2.49983e+08
