ArraySize	BinarySumTime	BinarySumTotal	ParallelSumTime	ParallelSumTotal	FastSumTime	FastSumTotal	BinParDiff	BinFastDiff	ParFastDiff
1000000	0.00316501	2.50003e+06	0.00112295	2.50003e+06	0.00109911	2.50003e+06	-5.58794e-09	-5.58794e-09	0
1100000	0.00257301	2.74929e+06	0.00114679	2.74929e+06	0.00114512	2.74929e+06	8.801e-08	8.801e-08	0
1200000	0.00171804	3.00025e+06	0.00125408	3.00025e+06	0.00124884	3.00025e+06	9.26666e-08	9.26666e-08	0
1300000	0.00172901	3.24947e+06	0.00135589	3.24947e+06	0.00135303	3.24947e+06	1.44355e-07	1.44355e-07	0
1400000	0.00201011	3.50016e+06	0.00146699	3.50016e+06	0.00146198	3.50016e+06	1.30851e-07	1.30851e-07	0
1500000	0.0020411	3.7517e+06	0.00158	3.7517e+06	0.00156808	3.7517e+06	2.007e-07	2.007e-07	0
1600000	0.00231814	3.99833e+06	0.00170493	3.99833e+06	0.00167704	3.99833e+06	1.39698e-07	1.39698e-07	0
1700000	0.00251007	4.25074e+06	0.00182796	4.25074e+06	0.00178695	4.25074e+06	2.50526e-07	2.50526e-07	0
1800000	0.00264192	4.50223e+06	0.00195193	4.50223e+06	0.00190306	4.50223e+06	1.01514e-07	1.01514e-07	0
1900000	0.002913	4.74753e+06	0.00208306	4.74753e+06	0.0020299	4.74753e+06	5.95115e-07	5.95115e-07	0
2000000	0.00314403	5.00233e+06	0.00221205	5.00233e+06	0.00214195	5.00233e+06	-1.63913e-07	-1.63913e-07	0
2100000	0.00341511	5.25232e+06	0.00233889	5.25232e+06	0.00226903	5.25232e+06	3.99537e-07	3.99537e-07	0
2200000	0.00365806	5.50016e+06	0.00247788	5.50016e+06	0.00240302	5.50016e+06	3.25963e-08	3.25963e-08	0
2300000	0.00395489	5.74745e+06	0.00260305	5.74745e+06	0.00252295	5.74745e+06	2.62633e-07	2.62633e-07	0
2400000	0.00422692	5.99537e+06	0.00273919	5.99537e+06	0.00264597	5.99537e+06	1.59256e-07	1.59256e-07	0
2500000	0.00447607	6.2474e+06	0.00285101	6.2474e+06	0.00277185	6.2474e+06	-1.73226e-07	-1.73226e-07	0
2600000	0.00479198	6.50231e+06	0.00298285	6.50231e+06	0.00288606	6.50231e+06	8.56817e-08	8.56817e-08	0
2700000	0.00505304	6.75321e+06	0.00310516	6.75321e+06	0.00300789	6.75321e+06	1.58325e-08	1.58325e-08	0
2800000	0.00532198	7.00317e+06	0.0032208	7.00317e+06	0.0031271	7.00317e+06	2.1141e-07	2.1141e-07	0
2900000	0.00557089	7.24932e+06	0.00334096	7.24932e+06	0.00326014	7.24932e+06	3.06405e-07	3.06405e-07	0
3000000	0.00588918	7.49921e+06	0.00348186	7.49921e+06	0.00336719	7.49921e+06	-5.28991e-07	-5.28991e-07	0
3100000	0.00613189	7.74886e+06	0.00357509	7.74886e+06	0.00349188	7.74886e+06	-4.24683e-07	-4.24683e-07	0
3200000	0.0064168	8.00172e+06	0.00369	8.00172e+06	0.00361085	8.00172e+06	3.44589e-08	3.44589e-08	0
3300000	0.00674891	8.24853e+06	0.00381303	8.24853e+06	0.00371814	8.24853e+06	-4.18164e-07	-4.18164e-07	0
3400000	0.00695801	8.50254e+06	0.00393796	8.50254e+06	0.00383711	8.50254e+06	9.36911e-07	9.36911e-07	0
3500000	0.00727797	8.7514e+06	0.00405097	8.7514e+06	0.00396085	8.7514e+06	7.07805e-07	7.07805e-07	0
3600000	0.00760317	9.00071e+06	0.00416899	9.00071e+06	0.00407386	9.00071e+06	-1.44541e-06	-1.44541e-06	0
3700000	0.00786495	9.25165e+06	0.00428104	9.25165e+06	0.00419497	9.25165e+06	0	0	0
3800000	0.00812483	9.50508e+06	0.00439906	9.50508e+06	0.00431299	9.50508e+06	2.90573e-07	2.90573e-07	0
