N	CPU	SCAN	FULL
1000	0.000003	0.000044	0.000063
2000	0.000006	0.000043	0.000065
3000	0.000010	0.000043	0.000068
4000	0.000013	0.000043	0.000070
5000	0.000016	0.000044	0.000072
6000	0.000022	0.000072	0.000112
7000	0.000024	0.000044	0.000087
8000	0.000027	0.000043	0.000096
9000	0.000031	0.000039	0.000074
10000	0.000034	0.000040	0.000076
11000	0.000048	0.000046	0.000093
12000	0.000047	0.000044	0.000087
13000	0.000044	0.000044	0.000087
14000	0.000083	0.000045	0.000088
15000	0.000050	0.000046	0.000092
16000	0.000054	0.000047	0.000128
17000	0.000084	0.000048	0.000132
18000	0.000088	0.000051	0.000153
19000	0.000092	0.000049	0.000141
20000	0.000118	0.000050	0.000163
21000	0.000101	0.000053	0.000152
22000	0.000106	0.000053	0.000156
23000	0.000119	0.000054	0.000166
24000	0.000118	0.000055	0.000168
25000	0.000121	0.000054	0.000167
26000	0.000129	0.000062	0.000181
27000	0.000197	0.000063	0.000183
28000	0.000138	0.000065	0.000191
29000	0.000143	0.000063	0.000193
30000	0.000147	0.000065	0.000199
31000	0.000167	0.000069	0.000214
32000	0.000197	0.000069	0.000246
33000	0.000177	0.000070	0.000221
34000	0.000168	0.000068	0.000218
35000	0.000183	0.000070	0.000281
36000	0.000178	0.000069	0.000226
37000	0.000201	0.000070	0.000237
38000	0.000185	0.000068	0.000232
39000	0.000188	0.000069	0.000254
40000	0.000231	0.000069	0.000243
41000	0.000200	0.000075	0.000277
42000	0.000207	0.000092	0.000270
43000	0.000223	0.000076	0.000261
44000	0.000248	0.000076	0.000260
45000	0.000242	0.000077	0.000280
46000	0.000255	0.000078	0.000332
47000	0.000248	0.000077	0.000285
48000	0.000299	0.000078	0.000290
49000	0.000243	0.000078	0.000305
50000	0.000243	0.000080	0.000279
51000	0.000250	0.000081	0.000290
52000	0.000327	0.000090	0.000305
53000	0.000260	0.000090	0.000307
54000	0.000264	0.000100	0.000358
55000	0.000332	0.000093	0.000387
56000	0.000324	0.000093	0.000322
57000	0.000315	0.000095	0.000375
58000	0.000292	0.000095	0.000443
59000	0.000293	0.000093	0.000333
60000	0.000296	0.000098	0.000338
61000	0.000299	0.000094	0.000356
62000	0.000302	0.000095	0.000358
63000	0.000332	0.000117	0.000388
64000	0.000312	0.000094	0.000351
65000	0.000348	0.000098	0.000379
66000	0.000321	0.000111	0.000383
67000	0.000364	0.000098	0.000402
68000	0.000367	0.000097	0.000413
69000	0.000355	0.000098	0.000452
70000	0.000371	0.000130	0.000443
71000	0.000370	0.000103	0.000408
72000	0.000357	0.000100	0.000438
73000	0.000390	0.000112	0.000509
74000	0.000387	0.000104	0.000418
75000	0.000411	0.000116	0.000524
76000	0.000377	0.000112	0.000434
77000	0.000416	0.000218	0.000582
78000	0.000428	0.000115	0.000451
79000	0.000406	0.000113	0.000441
80000	0.000431	0.000114	0.000475
81000	0.000436	0.000115	0.000472
82000	0.000561	0.000129	0.000549
83000	0.000474	0.000121	0.000499
84000	0.000464	0.000121	0.000510
85000	0.000465	0.000118	0.000462
86000	0.000498	0.000140	0.000556
87000	0.000581	0.000129	0.000480
88000	0.000463	0.000131	0.000598
89000	0.000593	0.000121	0.000473
90000	0.000541	0.000122	0.000513
91000	0.000465	0.000122	0.000484
92000	0.000456	0.000122	0.000557
93000	0.000470	0.000124	0.000508
94000	0.000518	0.000125	0.000509
95000	0.000504	0.000125	0.000541
96000	0.000590	0.000126	0.000518
97000	0.000543	0.000128	0.000516
98000	0.000537	0.000128	0.000518
99000	0.000491	0.000139	0.000549
100000	0.000500	0.000139	0.000545
101000	0.000501	0.000140	0.000534
102000	0.000557	0.000140	0.000575
103000	0.000511	0.000139	0.000540
104000	0.000545	0.000143	0.000595
105000	0.000568	0.000143	0.000590
