N	CPU	SCAN	FULL
1000	0.000003	0.000044	0.000064
2000	0.000007	0.000044	0.000065
3000	0.000010	0.000043	0.000067
4000	0.000013	0.000044	0.000070
5000	0.000018	0.000044	0.000073
6000	0.000020	0.000044	0.000078
7000	0.000024	0.000085	0.000126
8000	0.000027	0.000090	0.000143
9000	0.000030	0.000039	0.000075
10000	0.000085	0.000040	0.000077
11000	0.000038	0.000043	0.000082
12000	0.000061	0.000044	0.000089
13000	0.000045	0.000045	0.000087
14000	0.000050	0.000046	0.000091
15000	0.000054	0.000046	0.000094
16000	0.000060	0.000047	0.000127
17000	0.000192	0.000047	0.000147
18000	0.000137	0.000048	0.000138
19000	0.000098	0.000049	0.000144
20000	0.000097	0.000050	0.000145
21000	0.000142	0.000051	0.000151
22000	0.000107	0.000053	0.000155
23000	0.000120	0.000056	0.000167
24000	0.000113	0.000055	0.000165
25000	0.000125	0.000054	0.000168
26000	0.000132	0.000055	0.000177
27000	0.000129	0.000063	0.000180
28000	0.000136	0.000064	0.000188
29000	0.000142	0.000065	0.000192
30000	0.000167	0.000065	0.000196
31000	0.000152	0.000068	0.000237
32000	0.000159	0.000088	0.000233
33000	0.000171	0.000068	0.000219
34000	0.000166	0.000069	0.000218
35000	0.000181	0.000069	0.000244
36000	0.000198	0.000069	0.000240
37000	0.000183	0.000071	0.000280
38000	0.000209	0.000070	0.000242
39000	0.000203	0.000070	0.000261
40000	0.000205	0.000071	0.000246
41000	0.000256	0.000076	0.000284
42000	0.000207	0.000100	0.000290
43000	0.000213	0.000076	0.000254
44000	0.000228	0.000076	0.000264
45000	0.000223	0.000076	0.000264
46000	0.000234	0.000078	0.000315
47000	0.000278	0.000077	0.000287
48000	0.000249	0.000080	0.000318
49000	0.000237	0.000102	0.000317
50000	0.000251	0.000491	0.000738
51000	0.000264	0.000083	0.000316
52000	0.000273	0.000090	0.000324
53000	0.000258	0.000105	0.000318
54000	0.000318	0.000092	0.000327
55000	0.000266	0.000092	0.000314
56000	0.000350	0.000093	0.000320
57000	0.000275	0.000094	0.000338
58000	0.000289	0.000094	0.000331
59000	0.000285	0.000095	0.000333
60000	0.000291	0.000095	0.000380
61000	0.000310	0.000096	0.000350
62000	0.000308	0.000095	0.000354
63000	0.000402	0.000096	0.000365
64000	0.000309	0.000096	0.000364
65000	0.000331	0.000095	0.000371
66000	0.000321	0.000119	0.000389
67000	0.000347	0.000097	0.000392
68000	0.000356	0.000102	0.000403
69000	0.000359	0.000099	0.000387
70000	0.000341	0.000101	0.000395
