Type Calories Sodium
Beef 186 495
Beef 181 477
Beef 176 425
Beef 149 322
Beef 184 482
Beef 190 587
Beef 158 370
Beef 139 322
Beef 175 479
Beef 148 375
Beef 152 330
Beef 111 300
Beef 141 386
Beef 153 401
Beef 190 645
Beef 157 440
Beef 131 317
Beef 149 319
Beef 135 298
Beef 132 253
Pork 173 458
Pork 191 506
Pork 182 473
Pork 190 545
Pork 172 496
Pork 147 360
Pork 146 387
Pork 139 386
Pork 175 507
Pork 136 393
Pork 179 405
Pork 153 372
Pork 107 144
Pork 195 511
Pork 135 405
Pork 140 428
Pork 138 339
Chicken 129 430
Chicken 132 375
Chicken 102 396
Chicken 106 383
Chicken 94 387
Chicken 102 542
Chicken 87 359
Chicken 99 357
Chicken 107 528
Chicken 113 513
Chicken 135 426
Chicken 142 513
Chicken 86 358
Chicken 143 581
Chicken 152 588
Chicken 146 522
Chicken 144 545
