   AbdomenC Weight Height NeckC ChestC  HipC ThighC KneeC AnkleC BicepsC ForearmC WristC Over45
1      TRUE  FALSE  FALSE FALSE  FALSE FALSE  FALSE FALSE  FALSE   FALSE    FALSE  FALSE  FALSE
2      TRUE   TRUE  FALSE FALSE  FALSE FALSE  FALSE FALSE  FALSE   FALSE    FALSE  FALSE  FALSE
3      TRUE   TRUE  FALSE FALSE  FALSE FALSE  FALSE FALSE  FALSE   FALSE    FALSE   TRUE  FALSE
4      TRUE  FALSE   TRUE  TRUE  FALSE FALSE  FALSE FALSE  FALSE   FALSE    FALSE   TRUE  FALSE
5      TRUE  FALSE   TRUE  TRUE   TRUE FALSE  FALSE FALSE  FALSE   FALSE    FALSE   TRUE  FALSE
6      TRUE   TRUE   TRUE  TRUE  FALSE FALSE  FALSE FALSE  FALSE   FALSE     TRUE   TRUE  FALSE
7      TRUE  FALSE   TRUE  TRUE   TRUE  TRUE  FALSE FALSE  FALSE   FALSE     TRUE   TRUE  FALSE
8      TRUE  FALSE   TRUE  TRUE   TRUE  TRUE  FALSE FALSE  FALSE    TRUE     TRUE   TRUE  FALSE
9      TRUE  FALSE   TRUE  TRUE   TRUE  TRUE  FALSE FALSE   TRUE    TRUE     TRUE   TRUE  FALSE
10     TRUE   TRUE   TRUE  TRUE   TRUE  TRUE  FALSE FALSE   TRUE    TRUE     TRUE   TRUE  FALSE
11     TRUE   TRUE   TRUE  TRUE   TRUE  TRUE   TRUE FALSE   TRUE    TRUE     TRUE   TRUE  FALSE
12     TRUE   TRUE   TRUE  TRUE   TRUE  TRUE   TRUE  TRUE   TRUE    TRUE     TRUE   TRUE  FALSE
13     TRUE   TRUE   TRUE  TRUE   TRUE  TRUE   TRUE  TRUE   TRUE    TRUE     TRUE   TRUE   TRUE
