ID	Age	Month	Sex	Head.L	Head.W	Neck.G	Length	Chest.G	Weight	Obs.No	Name
598	NA	4	1	13.5	7	24.5	62	41	248	1	Albert
578	NA	4	1	18.5	8.5	23.5	67.5	42	204	1	Bill
83	124	4	1	17.5	8	32	75	55	478	3	Charlie
549	16	4	1	11	4	16	50.5	28	90	2	Christopher
179	100	4	2	13	7	21	70	41	220	1	Fannie
555	16	4	1	11.5	5.5	17.5	52.5	30	104	2	Gary
253	51	4	1	13.5	8	27	68.5	49	360	1	John
47	NA	4	1	15.5	7	29.3	76	53	416	1	Palmer
592	NA	4	2	13	7	21	59	34	146	1	Vanessa
592	NA	4	2	15.5	6	20.5	60	35	152	2	Vanessa
589	16	4	1	10	4	15.5	48	26	60	1	Wille
590	16	4	1	10	5	15	41	26	64	1	XRay
596	NA	4	1	15.5	9	29	79	50	400	1	Zack
41	29	5	2	12	6	18	62	31	121	4	Berta
578	NA	5	1	15	7	26	65	40	224	2	Bill
280	53	5	2	12.5	6	18	58	31	144	1	Clara
606	17	5	2	11.5	5	15	52.5	28	76	1	Denise
609	17	5	2	11	4.5	13	46	23	48	1	Evelyn
611	NA	5	2	12	6	19	57	34.5	148	1	Fran
615	NA	5	2	13.5	5	17	58	29	114	1	Gert
574	17	5	1	11.5	5	17	50.5	28	90	1	Quinn
394	NA	6	1	12	8.3	18.5	60.3	32	122	1	Abe
683	18	6	1	12.5	8.5	18	57.3	32.8	140	1	Grizz
623	NA	6	2	13	6	17.5	61	33	135	1	Mary
617	NA	6	2	13.5	5	17	58	29.5	116	1	Michele
621	NA	6	2	12	5	19	58.5	33.5	114	1	Sally
619	NA	6	1	14	6.5	21	63	35	198	1	Villager
538	18	6	1	11	5	15	45	25	60	2	Xavier
39	19	7	1	10	5	15	45	23	65	1	Allen
41	19	7	2	11	6.5	20	47.5	24	70	1	Berta
83	115	7	1	17	10	31.5	72	49	348	1	Charlie
43	19	7	1	11	5.5	16	53	26	80	1	Clyde
630	NA	7	1	12	6.5	18.5	55.5	27.5	110	1	Davy
241	56	7	1	15	7.5	26.5	73.5	41	262	1	Dieter
45	55	7	1	16.5	9	28	67.5	45	344	1	Doc
45	67	7	1	16.5	9	27	78	49	371	2	Doc
555	31	7	1	15.5	6	23	69	42.5	290	4	Gary
555	31	7	1	15.5	6	23	69	42.5	289	5	Gary
692	NA	7	1	12	4	17.5	59	28.5	128	1	Graham
694	NA	7	1	13.5	6	20	62	32.5	156	1	Jeffrey
560	43	7	1	13.5	6	21	64	35	166	2	Jim
632	NA	7	2	11	5	15.5	48.5	25.5	79	1	Patty
527	67	7	2	12.5	6	19	57	34	152	2	Smokey
628	NA	7	1	14.5	6.5	21.5	64	37	180	1	Sonny
655	8	8	2	10	4.5	10	43.5	24	29	1	Addy
638	NA	8	2	12	6	19	53.5	32	122	1	Ann
41	20	8	2	12	6	17	57	27	74	2	Berta
644	NA	8	1	12	6	18	66.5	34	146	1	Bronson
83	140	8	1	15	9	33	75	49	386	4	Charlie
43	20	8	1	12	5.5	17	56	30.5	108	2	Clyde
657	NA	8	1	16.5	8.5	29.5	69	49.5	348	1	Curt
657	NA	8	1	16.5	6.5	30	72	49	398	2	Curt
646	NA	8	1	17.5	8	30	83	49	396	1	Eddie
501	68	8	1	16	9	29	73	44	332	1	Eugene
503	8	8	1	9	4.5	13	37	19	34	1	Floyd
626	NA	8	1	12.5	6.5	18	60	30	130	1	Francis
634	NA	8	1	14.5	6	22.5	67	40	216	1	Friday
555	20	8	1	13.5	5.5	19	60.5	34	148	3	Gary
91	104	8	2	15.5	6.5	22	62	35	166	1	Geraldine
511	32	8	1	14	5	21.5	67	37	180	1	Ichabod
509	44	8	2	12.5	4.5	10.5	63	32	140	1	Kim
513	20	8	2	11.5	5	17.5	52	29	105	1	Lorie
911	NA	8	1	12	5.5	15	51	24	82	1	Lou
650	NA	8	2	13	5.5	19.5	61.5	37	156	1	Margie
623	NA	8	2	13.5	5	17	58	29	130	2	Mary
617	NA	8	2	12.5	7.5	19	60	34	158	2	Michele
515	32	8	1	13	8	21.5	59	33	166	1	Mighty
907	NA	8	2	13	6	22	61	40	230	1	Molly
518	56	8	1	14.5	7.5	26.5	66	40	250	2	Oliver
648	NA	8	1	13	5	18	55.5	30.5	122	1	Ozz
652	NA	8	2	12.5	6	19.5	58.5	32	142	1	Pam
642	NA	8	1	15.5	8	20	63	33	154	1	Ralph
909	NA	8	2	12	5	18	56	32.5	114	1	Sara
636	NA	8	1	15	8	26.5	71	42.5	302	1	Swartz
640	NA	8	1	17	9	29.5	70	45.5	322	1	Tiffy
640	NA	8	1	15.5	8	27	70	47	308	2	Tiffy
529	84	8	2	13.5	5	18.5	57	35	180	2	Tozia
238	70	9	1	15	6.5	28	78	45	334	1	Adam
545	45	9	2	13	6.5	21	60	34.5	182	1	Allison
644	NA	9	1	13	5.5	19.5	64	35	162	2	Bronson
547	21	9	1	14.5	5.5	20	61	34	150	1	Buck
83	117	9	1	15.5	7.5	32	75	54.5	476	2	Charlie
665	NA	9	1	13	6.5	20.5	60	36.5	154	1	Chet
549	21	9	1	13.5	6	21	59.5	32.5	150	3	Christopher
630	NA	9	1	13	6	19.5	61.5	31	140	2	Davy
630	NA	9	1	13.5	6	20	63.5	33	144	3	Davy
663	NA	9	2	14	7	21	66.5	37	160	1	Frieda
659	NA	9	1	17	8.5	30.5	79.5	48.5	368	1	Kermit
520	9	9	2	9	4.5	12	36	19	26	1	Ness
518	45	9	1	13.5	7	24	64	39	204	1	Oliver
648	NA	9	1	13	5.5	19.5	55	32.5	126	2	Ozz
661	NA	9	1	12	5.5	18	54.5	32	116	1	Paul
661	NA	9	1	13	6	19	59	34	130	2	Paul
522	21	9	1	13	6	19	59	30	120	1	Pete
522	21	9	1	13	6	19	59	30	114	2	Pete
522	30	9	1	13.5	6.5	23	66.5	38	210	3	Pete
48	81	9	1	15.5	8	31	72	54	416	1	Quincy
525	177	9	1	16	9.5	30	72	48	436	1	Robert
527	57	9	2	12.5	5	19	57.5	32	125	1	Smokey
527	69	9	2	12.5	6.5	19.5	61	36	176	3	Smokey
529	81	9	2	13	5	20	61	33	132	1	Tozia
531	21	9	1	13	5	17	54	28	90	1	Unser
533	9	9	1	10	4	13	40	23	40	1	Viking
535	45	9	1	16	6	24	63	42	220	1	Walt
538	9	9	1	10	4	13.5	43	23	46	1	Xavier
274	57	9	2	13.5	7	20	64	38	204	1	Xeronda
541	33	9	1	13.5	6	22	66.5	34	154	1	Yogi
543	57	9	2	13	5.5	17.5	60.5	31	116	1	Zelda
598	NA	10	1	14.5	6.5	26	70.5	41	278	2	Albert
670	NA	10	1	16	7.5	28	73	45	316	1	Brander
547	22	10	1	14	6.5	26	65	39	180	2	Buck
549	10	10	1	9.5	4.5	16	40	26	65	1	Christopher
549	22	10	1	13	6	20	63	35	172	4	Christopher
630	NA	10	1	13.5	6	20	64	35	160	4	Davy
551	82	10	2	13.5	6.5	28	64	48	356	1	Diane
553	70	10	2	14.5	6.5	26	65	48	316	1	Edith
555	10	10	1	11	5	17	49	29	94	1	Gary
557	10	10	1	11.5	5	17	47	29.5	86	1	Herman
579	70	10	1	15.5	7	28	76.5	55	446	1	Ian
560	34	10	1	13	7	21	59	35	150	1	Jim
562	34	10	1	16.5	6.5	27	72	44.5	270	1	Ken
69	NA	10	1	16	8	32	77	52	432	1	Kooch
564	34	10	1	14	5.5	24	65	39	202	1	Leon
673	NA	10	2	13.5	5.5	19.5	61	35	158	1	Louise
568	58	10	2	13.5	6.5	21.5	63	40	202	1	Noreen
570	58	10	1	15.5	7	28	70.5	50	365	1	Orville
648	NA	10	1	13	6	20.5	57	34	146	3	Ozz
598	NA	11	1	15	7	26.5	69	46.5	297	3	Albert
41	23	11	2	12.5	5	20.5	59.5	38	142	3	Berta
630	NA	11	1	13.5	6.5	22	66.5	35	184	5	Davy
626	NA	11	1	13.5	6.5	22	64	36	190	2	Francis
677	83	11	1	15.5	8	30.5	75	54	514	1	Iana
679	NA	11	1	15.5	7.5	25.5	73.5	43	324	1	Larry
675	NA	11	2	12.5	5.5	19	56	32	120	1	Nando
572	11	11	1	11.5	6	16.5	48	31	79	1	Pasquale
576	23	11	1	12	6.5	19	50	38	148	1	Rich
681	NA	11	1	14.5	7	22	67.5	38	196	1	Scott
581	11	11	2	9	5	15	46	27	62	1	Suzie
583	83	11	2	14.5	7	23	61.5	44	236	1	Thelma
531	23	11	1	13	5.5	20.5	57.8	34.5	140	2	Unser
585	35	11	1	13.5	8.5	23	63.5	44	212	1	U-Sam
