Months	Buffalo	Minneapolis	KansasCity
1	107.1	106.5	110.9
2	113.5	112.4	114.6
3	112.7	111.8	115.5
4	114.7	113.3	117.0
5	123.4	124.5	135.0
6	123.6	124.3	132.8
7	116.3	116.5	122.6
8	118.5	118.6	123.8
9	119.8	119.6	128.9
10	120.3	119.4	126.7
11	127.4	128.6	139.3
12	125.1	126.3	135.7
13	127.6	126.8	135.6
14	129.0	125.7	146.0
15	124.6	120.8	140.7
16	134.1	127.9	147.0
17	146.5	147.6	163.9
18	171.2	169.8	194.3
19	178.6	177.6	200.8
20	172.2	172.5	193.3
21	171.5	170.1	190.3
22	163.6	171.3	188.0
23	185.6	189.9	196.1
24	198.8	206.9	215.0
25	195.7	197.4	201.6
26	190.3	195.0	203.4
27	207.9	214.2	222.1
28	212.8	219.2	228.7
29	199.9	205.6	216.1
30	185.3	193.4	200.2
31	183.0	185.1	189.6
32	173.5	174.0	173.3
33	172.2	173.2	169.7
34	165.3	164.5	161.0
35	159.9	159.0	151.7
36	170.3	169.7	167.1
37	172.2	174.4	174.4
38	184.5	186.2	189.7
39	185.0	184.7	187.4
40	177.7	176.4	178.4
41	169.1	167.6	165.8
42	174.7	170.9	164.9
43	169.4	168.2	171.8
44	177.8	176.4	175.4
45	170.1	168.6	165.9
46	167.1	164.6	157.3
47	171.4	170.1	161.4
48	172.3	169.4	159.2
49	152.6	149.6	142.8
50	144.1	139.5	138.5
51	143.5	137.3	134.2
52	135.6	129.7	126.1
53	135.4	128.4	124.2
54	134.5	126.9	122.7
55	136.1	128.8	123.5
56	135.6	126.5	118.3
57	122.8	116.6	112.3
58	119.0	113.4	105.7
59	108.5	102.8	97.7
60	113.3	107.7	105.8
61	114.8	109.4	106.9
62	120.9	114.9	110.0
63	123.7	117.5	114.3
64	127.8	120.0	118.8
65	125.4	117.6	117.2
66	131.5	124.0	126.1
67	127.7	119.7	120.5
68	131.2	125.0	125.6
69	145.2	141.1	132.0
70	141.9	137.0	134.6
71	139.3	132.3	130.3
72	141.1	134.8	137.0
73	135.9	129.7	136.6
74	136.5	128.7	137.0
75	137.2	129.9	138.4
76	143.8	137.2	142.9
77	138.7	132.8	140.4
78	133.9	127.5	136.0
79	137.7	131.2	140.1
80	143.8	137.1	148.2
81	140.8	135.5	146.4
82	153.4	147.1	158.5
83	157.5	151.6	163.5
84	179.5	173.7	187.1
85	177.5	171.6	181.7
86	178.0	170.8	181.5
87	176.8	172.4	181.9
88	179.8	174.9	190.9
89	174.2	168.1	186.9
90	171.1	164.7	180.1
91	176.0	170.0	184.8
92	172.2	164.9	174.8
93	164.7	157.9	169.0
94	175.7	169.2	178.4
95	177.4	168.6	175.3
96	187.5	179.8	178.2
97	190.7	179.0	182.0
98	190.4	179.2	188.6
99	192.4	181.4	190.8
100	192.9	181.8	192.2
