Month   LogOil  
  1  2.00000
  2  2.00000
  3  2.00076
  4  2.00899
  5  2.02679
  6  2.03839
  7  2.04012
  8  2.04012
  9  2.06527
 10  2.06527
 11  2.08439
 12  2.10538
 13  2.19183
 14  2.24514
 15  2.24514
 16  2.24514
 17  2.24514
 18  2.24514
 19  2.29146
 20  2.29300
 21  2.29339
 22  2.31372
 23  2.30405
 24  2.28874
 25  2.28894
 26  2.29951
 27  2.30254
 28  2.30630
 29  2.31002
 30  2.34868
 31  2.33907
 32  2.34885
 33  2.34885
 34  2.35172
 35  2.35708
 36  2.35973
 37  2.36089
 38  2.32479
 39  2.32515
 40  2.32960
 41  2.33137
 42  2.33506
 43  2.34578
 44  2.34578
 45  2.34578
 46  2.36270
 47  2.36270
 48  2.36270
 49  2.36023
 50  2.37850
 51  2.37180
 52  2.37341
 53  2.37341
 54  2.37469
 55  2.37308
 56  2.37708
 57  2.38150
 58  2.38542
 59  2.39207
 60  2.39998
 61  2.40103
 62  2.40239
 63  2.40790
 64  2.40923
 65  2.41099
 66  2.41596
 67  2.42030
 68  2.42145
 69  2.42573
 70  2.42828
 71  2.43250
 72  2.43515
 73  2.44067
 74  2.44870
 75  2.45125
 76  2.45392
 77  2.46639
 78  2.49237
 79  2.50934
 80  2.52669
 81  2.56585
 82  2.58062
 83  2.59404
 84  2.61327
 85  2.65106
 86  2.65233
 87  2.65877
 88  2.66790
 89  2.67291
 90  2.68001
 91  2.68190
 92  2.69387
 93  2.69730
 94  2.70356
 95  2.71902
 96  2.74170
 97  2.78826
 98  2.86611
 99  2.86616
100  2.86601
